,Amplitude
0,0.0
1,21.0
2,21.0
3,22.0
4,22.0
5,23.0
6,23.0
7,23.0
8,23.0
9,23.0
10,23.0
11,23.0
12,23.0
13,23.0
14,23.0
15,23.0
16,22.0
17,22.0
18,21.0
19,21.0
20,20.0
21,20.0
22,19.0
23,19.0
24,18.0
25,17.0
26,17.0
27,17.0
28,16.0
29,15.0
30,15.0
31,15.0
32,20.0
33,21.0
34,21.0
35,22.0
36,22.0
37,23.0
38,23.0
39,23.0
40,23.0
41,23.0
42,23.0
43,23.0
44,23.0
45,23.0
46,23.0
47,23.0
48,22.0
49,22.0
50,21.0
51,21.0
52,20.0
53,20.0
54,19.0
55,19.0
56,18.0
57,17.0
58,17.0
59,17.0
60,16.0
61,15.0
62,15.0
63,15.0
64,13.0
65,13.0
66,13.0
67,13.0
68,13.0
69,13.0
70,14.0
71,14.0
72,14.0
73,15.0
74,15.0
75,16.0
76,16.0
77,17.0
78,17.0
79,18.0
80,19.0
81,19.0
82,20.0
83,20.0
84,21.0
85,21.0
86,22.0
87,22.0
88,22.0
89,23.0
90,23.0
91,23.0
92,24.0
93,24.0
94,23.0
95,23.0
96,23.0
97,23.0
98,23.0
99,22.0
100,22.0
101,22.0
102,21.0
103,21.0
104,20.0
105,19.0
106,19.0
107,18.0
108,18.0
109,17.0
110,16.0
111,16.0
112,15.0
113,15.0
114,15.0
115,14.0
116,14.0
117,14.0
118,13.0
119,13.0
120,13.0
121,13.0
122,14.0
123,14.0
124,14.0
125,14.0
126,15.0
127,15.0
128,15.0
129,16.0
130,16.0
131,16.0
132,17.0
133,17.0
134,18.0
135,19.0
136,19.0
137,20.0
138,21.0
139,21.0
140,22.0
141,22.0
142,23.0
143,23.0
144,23.0
145,23.0
146,23.0
147,23.0
148,23.0
149,24.0
150,23.0
151,23.0
152,23.0
153,22.0
154,22.0
155,22.0
156,21.0
157,21.0
158,20.0
159,20.0
160,19.0
161,18.0
162,18.0
163,17.0
164,17.0
165,16.0
166,16.0
167,15.0
168,15.0
169,14.0
170,14.0
171,14.0
172,13.0
173,14.0
174,13.0
175,13.0
176,13.0
177,13.0
178,14.0
179,14.0
180,14.0
181,15.0
182,15.0
183,15.0
184,16.0
185,16.0
186,17.0
187,17.0
188,18.0
189,19.0
190,19.0
191,20.0
192,21.0
193,21.0
194,21.0
195,22.0
196,22.0
197,23.0
198,23.0
199,23.0
200,23.0
201,23.0
202,23.0
203,23.0
204,23.0
205,23.0
206,23.0
207,23.0
208,22.0
209,22.0
210,21.0
211,21.0
212,20.0
213,20.0
214,19.0
215,19.0
216,18.0
217,17.0
218,17.0
219,16.0
220,16.0
221,15.0
222,15.0
223,14.0
224,14.0
225,14.0
226,14.0
227,14.0
228,13.0
229,13.0
230,13.0
231,13.0
232,14.0
233,14.0
234,14.0
235,15.0
236,15.0
237,15.0
238,16.0
239,16.0
240,17.0
241,17.0
242,18.0
243,18.0
244,19.0
245,20.0
246,21.0
247,21.0
248,21.0
249,22.0
250,22.0
251,22.0
252,23.0
253,23.0
254,23.0
255,23.0
256,24.0
257,23.0
258,23.0
259,23.0
260,23.0
261,23.0
262,22.0
263,22.0
264,22.0
265,21.0
266,20.0
267,20.0
268,19.0
269,18.0
270,18.0
271,18.0
272,17.0
273,16.0
274,16.0
275,16.0
276,15.0
277,15.0
278,14.0
279,14.0
280,14.0
281,13.0
282,13.0
283,13.0
284,14.0
285,13.0
286,13.0
287,14.0
288,14.0
289,15.0
290,15.0
291,15.0
292,16.0
293,16.0
294,17.0
295,17.0
296,18.0
297,18.0
298,19.0
299,19.0
300,20.0
301,21.0
302,21.0
303,22.0
304,22.0
305,22.0
306,23.0
307,23.0
308,23.0
309,23.0
310,24.0
311,23.0
312,24.0
313,23.0
314,23.0
315,23.0
316,22.0
317,22.0
318,22.0
319,21.0
320,20.0
321,20.0
322,19.0
323,19.0
324,18.0
325,17.0
326,17.0
327,17.0
328,16.0
329,16.0
330,15.0
331,15.0
332,14.0
333,14.0
334,13.0
335,13.0
336,13.0
337,13.0
338,13.0
339,13.0
340,14.0
341,13.0
342,14.0
343,14.0
344,14.0
345,15.0
346,16.0
347,16.0
348,16.0
349,17.0
350,18.0
351,18.0
352,19.0
353,19.0
354,20.0
355,21.0
356,21.0
357,22.0
358,22.0
359,22.0
360,23.0
361,23.0
362,23.0
363,23.0
364,23.0
365,24.0
366,23.0
367,23.0
368,23.0
369,23.0
370,23.0
371,22.0
372,22.0
373,21.0
374,21.0
375,20.0
376,20.0
377,19.0
378,18.0
379,18.0
380,17.0
381,17.0
382,16.0
383,16.0
384,15.0
385,15.0
386,15.0
387,14.0
388,14.0
389,14.0
390,13.0
391,13.0
392,13.0
393,13.0
394,14.0
395,14.0
396,14.0
397,14.0
398,15.0
399,15.0
400,15.0
401,16.0
402,16.0
403,17.0
404,17.0
405,18.0
406,18.0
407,19.0
408,20.0
409,21.0
410,21.0
411,21.0
412,22.0
413,22.0
414,23.0
415,23.0
416,23.0
417,23.0
418,23.0
419,23.0
420,23.0
421,23.0
422,23.0
423,23.0
424,23.0
425,22.0
426,22.0
427,21.0
428,21.0
429,20.0
430,20.0
431,19.0
432,19.0
433,18.0
434,18.0
435,17.0
436,17.0
437,16.0
438,16.0
439,15.0
440,14.0
441,14.0
442,14.0
443,14.0
444,13.0
