,Amplitude
0,7.0
1,15.0
2,13.0
3,14.0
4,18.0
5,21.0
6,23.0
7,23.0
8,20.0
9,16.0
10,14.0
11,14.0
12,17.0
13,21.0
14,23.0
15,23.0
16,20.0
17,16.0
18,13.0
19,14.0
20,16.0
21,20.0
22,23.0
23,23.0
24,20.0
25,17.0
26,14.0
27,14.0
28,18.0
29,22.0
30,23.0
31,22.0
32,19.0
33,15.0
34,13.0
35,14.0
36,18.0
37,21.0
38,23.0
39,23.0
40,20.0
41,16.0
42,14.0
43,14.0
44,17.0
45,21.0
46,23.0
47,23.0
48,20.0
49,16.0
50,13.0
51,14.0
52,16.0
53,20.0
54,23.0
55,23.0
56,20.0
57,17.0
58,14.0
59,23.0
60,23.0
61,21.0
62,17.0
63,14.0
64,13.0
65,15.0
66,19.0
67,22.0
68,23.0
69,22.0
70,18.0
71,15.0
72,13.0
73,15.0
74,18.0
75,22.0
76,24.0
77,22.0
78,19.0
79,15.0
80,13.0
81,15.0
82,18.0
83,21.0
84,23.0
85,22.0
86,19.0
87,15.0
88,13.0
89,14.0
90,17.0
91,21.0
92,23.0
93,23.0
94,20.0
95,16.0
96,14.0
97,14.0
98,17.0
99,20.0
100,23.0
101,23.0
102,20.0
103,17.0
104,13.0
105,13.0
106,16.0
107,20.0
108,23.0
109,23.0
110,21.0
111,17.0
112,14.0
113,13.0
114,16.0
115,19.0
116,22.0
117,24.0
118,21.0
119,17.0
120,14.0
121,13.0
122,15.0
123,19.0
124,22.0
125,23.0
126,22.0
127,18.0
128,15.0
129,13.0
130,15.0
131,18.0
132,22.0
133,24.0
134,22.0
135,19.0
136,15.0
137,13.0
138,14.0
139,17.0
140,22.0
141,24.0
142,22.0
143,19.0
144,15.0
145,13.0
146,14.0
147,17.0
148,21.0
149,23.0
150,23.0
151,20.0
152,16.0
153,13.0
154,14.0
155,17.0
156,20.0
157,23.0
158,23.0
159,20.0
160,16.0
161,14.0
162,14.0
163,16.0
164,20.0
165,23.0
166,23.0
167,21.0
168,17.0
169,14.0
170,13.0
171,16.0
172,19.0
173,23.0
174,23.0
175,21.0
176,17.0
177,14.0
178,14.0
179,15.0
180,19.0
181,22.0
182,23.0
183,22.0
184,18.0
185,14.0
186,13.0
187,15.0
188,18.0
189,22.0
190,23.0
191,22.0
192,19.0
193,15.0
194,13.0
195,15.0
196,18.0
197,22.0
198,23.0
199,22.0
200,19.0
201,15.0
202,13.0
203,14.0
204,17.0
205,21.0
206,23.0
207,23.0
208,20.0
209,16.0
210,13.0
211,14.0
212,16.0
213,21.0
214,23.0
215,23.0
216,20.0
217,16.0
218,14.0
219,13.0
220,16.0
221,20.0
222,23.0
223,23.0
224,20.0
225,17.0
226,14.0
227,14.0
228,16.0
229,19.0
230,23.0
231,23.0
232,21.0
233,18.0
234,14.0
235,13.0
236,15.0
237,19.0
238,22.0
239,24.0
240,21.0
241,18.0
242,15.0
243,13.0
244,15.0
245,18.0
246,22.0
247,23.0
248,22.0
249,18.0
250,15.0
251,13.0
252,15.0
253,18.0
254,21.0
255,23.0
256,23.0
257,19.0
258,16.0
259,13.0
260,14.0
261,17.0
262,21.0
263,23.0
264,23.0
265,20.0
266,16.0
267,14.0
268,14.0
269,17.0
270,21.0
271,23.0
272,23.0
273,20.0
274,16.0
275,14.0
276,14.0
277,16.0
278,20.0
279,23.0
280,23.0
281,21.0
282,17.0
283,14.0
284,14.0
285,16.0
286,19.0
287,22.0
288,23.0
289,21.0
290,18.0
291,14.0
292,13.0
293,15.0
294,19.0
295,22.0
296,23.0
297,22.0
298,18.0
299,15.0
300,13.0
301,15.0
302,18.0
303,22.0
304,23.0
305,22.0
306,19.0
307,15.0
308,13.0
309,14.0
310,18.0
311,21.0
312,23.0
313,22.0
314,19.0
315,15.0
316,13.0
317,14.0
318,17.0
319,21.0
320,23.0
321,23.0
322,19.0
323,16.0
324,14.0
325,14.0
326,17.0
327,21.0
328,23.0
329,23.0
330,20.0
331,16.0
332,14.0
333,14.0
334,16.0
335,20.0
336,23.0
337,23.0
338,21.0
339,17.0
340,14.0
341,13.0
342,16.0
343,19.0
344,23.0
345,23.0
346,21.0
347,17.0
348,14.0
349,13.0
350,15.0
351,19.0
352,22.0
353,24.0
354,22.0
355,18.0
356,15.0
357,13.0
358,15.0
359,18.0
360,22.0
361,23.0
362,22.0
363,18.0
364,15.0
365,13.0
366,14.0
367,18.0
368,21.0
369,23.0
370,22.0
371,19.0
372,16.0
373,13.0
374,14.0
375,17.0
376,21.0
377,23.0
378,23.0
379,19.0
380,16.0
381,14.0
382,14.0
383,16.0
384,20.0
385,23.0
386,23.0
387,20.0
388,16.0
389,14.0
390,13.0
391,16.0
392,20.0
393,23.0
394,23.0
395,21.0
396,17.0
397,14.0
398,14.0
399,16.0
400,19.0
401,23.0
402,24.0
403,21.0
404,18.0
405,14.0
406,13.0
407,15.0
408,19.0
409,22.0
410,23.0
411,22.0
412,18.0
413,15.0
414,13.0
415,15.0
416,18.0
417,22.0
418,23.0
419,22.0
420,19.0
421,15.0
422,13.0
423,14.0
424,18.0
425,21.0
426,23.0
427,22.0
428,19.0
429,15.0
430,13.0
431,14.0
432,17.0
433,21.0
434,23.0
435,23.0
436,20.0
437,16.0
438,13.0
439,14.0
440,17.0
441,20.0
442,23.0
443,23.0
444,20.0
445,16.0
446,14.0
447,14.0
448,16.0
449,20.0
450,23.0
451,23.0
452,21.0
453,17.0
454,14.0
455,14.0
456,16.0
457,19.0
458,22.0
459,23.0
460,21.0
461,17.0
462,14.0
463,13.0
464,15.0
465,19.0
466,22.0
467,23.0
468,22.0
469,18.0
470,15.0
471,13.0
472,15.0
473,18.0
474,22.0
475,24.0
476,22.0
477,19.0
478,15.0
479,13.0
480,14.0
481,18.0
482,21.0
483,24.0
484,22.0
485,19.0
486,16.0
487,13.0
488,14.0
489,17.0
490,21.0
491,23.0
492,23.0
493,20.0
494,16.0
495,13.0
496,14.0
497,17.0
498,21.0
499,23.0
500,23.0
501,20.0
502,17.0
503,14.0
504,14.0
505,16.0
506,20.0
507,23.0
508,23.0
509,21.0
510,17.0
511,14.0
512,13.0
513,15.0
514,19.0
515,23.0
516,23.0
517,21.0
518,18.0
519,14.0
520,13.0
521,15.0
522,19.0
523,22.0
524,23.0
525,22.0
526,18.0
527,15.0
528,13.0
529,15.0
530,18.0
531,22.0
532,23.0
533,22.0
534,19.0
535,15.0
536,13.0
537,15.0
538,18.0
539,21.0
540,24.0
541,22.0
542,19.0
543,16.0
544,14.0
545,14.0
546,17.0
547,21.0
548,23.0
549,23.0
550,20.0
551,16.0
552,14.0
553,14.0
554,16.0
555,20.0
556,23.0
557,23.0
558,20.0
559,17.0
560,14.0
561,13.0
562,16.0
563,20.0
564,23.0
565,23.0
566,21.0
567,17.0
568,14.0
569,13.0
570,16.0
571,19.0
572,22.0
573,23.0
574,21.0
575,18.0
576,14.0
577,13.0
578,15.0
579,18.0
580,22.0
581,24.0
582,22.0
583,18.0
584,15.0
585,13.0
586,15.0
587,18.0
588,21.0
589,23.0
590,22.0
591,19.0
592,15.0
593,13.0
594,15.0
595,18.0
596,21.0
597,23.0
598,23.0
599,20.0
600,15.0
601,13.0
602,14.0
603,17.0
604,21.0
605,23.0
606,23.0
607,20.0
608,16.0
609,14.0
610,14.0
611,16.0
612,20.0
613,23.0
614,23.0
615,20.0
616,17.0
617,14.0
618,14.0
619,16.0
620,20.0
621,23.0
622,23.0
623,21.0
624,17.0
625,14.0
626,13.0
627,15.0
628,19.0
629,22.0
630,23.0
631,22.0
632,18.0
633,14.0
634,13.0
635,15.0
636,19.0
637,22.0
638,23.0
639,22.0
640,18.0
641,15.0
642,13.0
643,15.0
644,18.0
645,22.0
646,24.0
647,22.0
648,19.0
649,15.0
650,13.0
651,14.0
652,18.0
653,21.0
654,24.0
655,22.0
656,19.0
657,16.0
658,13.0
659,14.0
660,17.0
661,21.0
662,23.0
663,23.0
664,20.0
665,16.0
666,14.0
667,14.0
668,17.0
669,20.0
670,23.0
671,23.0
672,20.0
673,17.0
674,14.0
675,14.0
676,16.0
677,20.0
678,23.0
679,23.0
680,21.0
681,17.0
682,14.0
683,13.0
684,15.0
685,19.0
686,22.0
687,24.0
688,21.0
689,18.0
690,15.0
691,13.0
692,15.0
693,19.0
694,22.0
695,23.0
696,22.0
697,18.0
698,15.0
699,14.0
700,15.0
701,18.0
702,22.0
703,23.0
704,22.0
705,19.0
706,15.0
707,13.0
708,14.0
709,17.0
710,21.0
711,23.0
712,23.0
713,19.0
714,16.0
715,14.0
716,14.0
717,17.0
718,21.0
719,24.0
720,23.0
721,20.0
722,16.0
723,13.0
724,14.0
725,16.0
726,20.0
727,23.0
728,23.0
729,20.0
730,16.0
731,14.0
732,14.0
733,16.0
734,20.0
735,23.0
736,23.0
737,21.0
738,17.0
739,14.0
740,13.0
741,15.0
742,19.0
743,22.0
744,23.0
745,21.0
746,18.0
747,15.0
748,13.0
749,15.0
750,18.0
751,22.0
752,23.0
753,22.0
754,18.0
755,15.0
756,13.0
757,14.0
758,18.0
759,21.0
760,23.0
761,22.0
762,19.0
763,15.0
764,13.0
765,14.0
766,17.0
767,21.0
768,23.0
769,23.0
770,19.0
771,16.0
772,13.0
773,14.0
774,17.0
775,21.0
776,23.0
777,23.0
778,20.0
779,16.0
780,14.0
781,14.0
782,16.0
783,20.0
784,23.0
785,23.0
786,21.0
787,17.0
788,14.0
789,13.0
790,16.0
791,20.0
792,23.0
793,23.0
794,21.0
795,17.0
796,14.0
797,13.0
798,16.0
799,19.0
800,22.0
801,23.0
802,21.0
803,18.0
804,14.0
805,13.0
806,15.0
807,18.0
808,22.0
809,24.0
810,22.0
811,18.0
812,15.0
813,13.0
814,15.0
